3;1;glass
glass1;深色眼镜
glass2;普通眼镜
glass3;没戴眼镜
101;2;smile
smile0;没有笑容
smile1;没有笑容
smile2;没有笑容
smile3;没有笑容
smile4;没有笑容
smile5;没有笑容
smile6;没有笑容
smile7;没有笑容
smile8;没有笑容
smile9;没有笑容
smile10;似笑非笑
smile11;似笑非笑
smile12;似笑非笑
smile13;似笑非笑
smile14;似笑非笑
smile15;似笑非笑
smile16;似笑非笑
smile17;似笑非笑
smile18;似笑非笑
smile19;似笑非笑
smile20;微笑
smile21;微笑
smile22;微笑
smile23;微笑
smile24;微笑
smile25;微笑
smile26;微笑
smile27;微笑
smile28;微笑
smile29;微笑
smile30;眉开眼笑
smile31;眉开眼笑
smile32;眉开眼笑
smile33;眉开眼笑
smile34;眉开眼笑
smile35;眉开眼笑
smile36;眉开眼笑
smile37;眉开眼笑
smile38;眉开眼笑
smile39;眉开眼笑
smile40;眉开眼笑
smile41;眉开眼笑
smile42;眉开眼笑
smile43;眉开眼笑
smile44;眉开眼笑
smile45;眉开眼笑
smile46;眉开眼笑
smile47;眉开眼笑
smile48;眉开眼笑
smile49;眉开眼笑
smile50;眉开眼笑
smile51;眉开眼笑
smile52;眉开眼笑
smile53;眉开眼笑
smile54;眉开眼笑
smile55;眉开眼笑
smile56;眉开眼笑
smile57;眉开眼笑
smile58;眉开眼笑
smile59;眉开眼笑
smile60;眉开眼笑
smile61;眉开眼笑
smile62;眉开眼笑
smile63;眉开眼笑
smile64;眉开眼笑
smile65;眉开眼笑
smile66;眉开眼笑
smile67;眉开眼笑
smile68;眉开眼笑
smile69;眉开眼笑
smile70;眉开眼笑
smile71;眉开眼笑
smile72;眉开眼笑
smile73;眉开眼笑
smile74;眉开眼笑
smile75;眉开眼笑
smile76;眉开眼笑
smile77;眉开眼笑
smile78;眉开眼笑
smile79;眉开眼笑
smile80;眉开眼笑
smile81;眉开眼笑
smile82;眉开眼笑
smile83;眉开眼笑
smile84;眉开眼笑
smile85;眉开眼笑
smile86;眉开眼笑
smile87;眉开眼笑
smile88;眉开眼笑
smile89;眉开眼笑
smile90;眉开眼笑
smile91;眉开眼笑
smile92;眉开眼笑
smile93;眉开眼笑
smile94;眉开眼笑
smile95;眉开眼笑
smile96;眉开眼笑
smile97;眉开眼笑
smile98;眉开眼笑
smile99;眉开眼笑
smile100;眉开眼笑
2;3;gender
gender1;男
gender2;女
80;4;age
age0;无法判断
age1;1岁
age2;2岁
age3;3岁
age4;4岁
age5;5岁
age6;6岁
age7;7岁
age8;8岁
age9;9岁
age10;10岁
age11;11岁
age12;12岁
age13;13岁
age14;14岁
age15;15岁
age16;16岁
age17;17岁
age18;18岁
age19;19岁
age20;20岁
age21;21岁
age22;22岁
age23;23岁
age24;24岁
age25;25岁
age26;26岁
age27;27岁
age28;28岁
age29;29岁
age30;30岁
age31;31岁
age32;32岁
age33;33岁
age34;34岁
age35;35岁
age36;36岁
age37;37岁
age38;38岁
age39;39岁
age40;40岁
age41;41岁
age42;42岁
age43;43岁
age44;44岁
age45;45岁
age46;46岁
age47;47岁
age48;48岁
age49;49岁
age50;50岁
age51;51岁
age52;52岁
age53;53岁
age54;54岁
age55;55岁
age56;56岁
age57;57岁
age58;58岁
age59;59岁
age60;60岁
age61;61岁
age62;62岁
age63;63岁
age64;64岁
age65;65岁
age66;66岁
age67;67岁
age68;68岁
age69;69岁
age70;70岁
age71;71岁
age72;72岁
age73;73岁
age74;74岁
age75;75岁
age76;76岁
age77;77岁
age78;78岁
age79;79岁
101;5;quality
quality0;0
quality1;1
quality2;2
quality3;3
quality4;4
quality5;5
quality6;6
quality7;7
quality8;8
quality9;9
quality10;10
quality11;11
quality12;12
quality13;13
quality14;14
quality15;15
quality16;16
quality17;17
quality18;18
quality19;19
quality20;20
quality21;21
quality22;22
quality23;23
quality24;24
quality25;25
quality26;26
quality27;27
quality28;28
quality29;29
quality30;30
quality31;31
quality32;32
quality33;33
quality34;34
quality35;35
quality36;36
quality37;37
quality38;38
quality39;39
quality40;40
quality41;41
quality42;42
quality43;43
quality44;44
quality45;45
quality46;46
quality47;47
quality48;48
quality49;49
quality50;50
quality51;51
quality52;52
quality53;53
quality54;54
quality55;55
quality56;56
quality57;57
quality58;58
quality59;59
quality60;60
quality61;61
quality62;62
quality63;63
quality64;64
quality65;65
quality66;66
quality67;67
quality68;68
quality69;69
quality70;70
quality71;71
quality72;72
quality73;73
quality74;74
quality75;75
quality76;76
quality77;77
quality78;78
quality79;79
quality80;80
quality81;81
quality82;82
quality83;83
quality84;84
quality85;85
quality86;86
quality87;87
quality88;88
quality89;89
quality90;90
quality91;91
quality92;92
quality93;93
quality94;94
quality95;95
quality96;96
quality97;97
quality98;98
quality99;99
quality100;100
